name,price,score,body,tannin,sweetness,acidity
Tenuta Valleselle Ripa Magna Corvina 2018,3,4.2,4,3,2,2
Brunello di Montalcino 2011,2,4.2,3,3,1,4
Petite Sirah 2015,2,4.2,4,4,1,3
Unánime Gran Vino Tinto 2016,3,4.2,5,3,1,4
Cabernet Sauvignon 2014,4,4.2,5,3,1,3
La Petite Grace Pinot Noir 2015,2,4.2,3,1,1,3
La Petite Grace Pinot Noir 2014,2,4.2,3,1,1,3
1 Uno Primitivo di Manduria 2017,2,4.2,4,2,3,1
Cabernet Sauvignon 2015,4,4.2,5,3,1,3
Proprietary Red 2017,4,4.2,5,3,1,4
1 Uno Primitivo di Manduria 2016,2,4.2,4,2,3,1
Chateau Buena Vista Cabernet Sauvignon Napa Valley 2013,3,4.2,5,3,1,3
Rioja Gran Reserva 2009,4,4.2,4,3,1,4
La Petite Grace Pinot Noir 2013,2,4.2,3,1,1,3
Brunello di Montalcino 2002,3,4.2,3,3,1,4
Laborde Double Select Syrah 2017,1,4.2,4,3,1,3
Tinto De La Casa Malbec 2018,2,4.2,4,2,2,3
Cielo d'Ulisse Brunello di Montalcino 2013,4,4.2,3,3,1,4
Barolo Bussia 2006,4,4.2,4,4,1,5
O.P.C Proprietary Red 2011,4,4.2,5,3,1,4
The Party Malbec 2018,1,4.2,3,2,2,3
Barolo Bussia 2007,4,4.2,4,4,1,5
Amore e Follia 2010,2,4.2,3,3,1,3
Land's Edge Vineyard Pinot Noir 2012,4,4.2,3,1,1,3
O.P.C Proprietary Red 2013,4,4.2,5,3,1,4
Elevage 2013,4,4.2,5,3,1,4
Cabernet Sauvignon 2013,4,4.2,5,3,1,3
Tinto De La Casa Malbec 2019,2,4.2,4,2,2,3
O.P.C Proprietary Red 2010,4,4.2,5,3,1,4
Manyetes 2015,4,4.2,5,3,1,3
Orben 2006,2,4.2,4,4,1,4
Dreadnought 2011,3,4.2,4,3,1,3
Manyetes 2013,4,4.2,5,3,1,3
160 Anni 2013,2,4.2,5,3,2,2
Taurasi Radici 2000,2,4.2,5,3,2,2
Reiver Shiraz 2005,2,4.2,5,3,2,3
Oracle Shiraz 2005,3,4.2,5,3,2,3
Chateau de Chassagne-Montrachet Rouge 2017,3,4.2,2,2,1,4
Land's Edge Vineyard Pinot Noir 2016,4,4.2,3,1,1,3
Cabernet Sauvignon 2012,4,4.2,5,3,1,3
Single Vineyard Las Compuertas Malbec 2004,2,4.2,4,2,2,2
Cabernet Sauvignon 2004,4,4.2,5,3,1,3
Unánime Malbec 2010,3,4.2,4,2,1,2
Château Prieuré La Marzelle Saint-Émilion Grand Cru 2015,2,4.2,4,3,1,3
Amore e Follia 2009,2,4.2,3,3,1,3
Reserve Bikavér 2009,2,4.2,4,4,1,4
Ironclad 2016,2,4.2,4,3,1,4
Red 2018,3,4.2,4,3,1,4
Taurasi Naturalis Historia 2000,3,4.2,5,3,2,2
Amore e Follia 2011,2,4.2,3,3,1,3
Kokoro 2014,2,4.2,4,3,1,4
Prima Donna Pinot Noir 2012,3,4.2,2,2,1,4
Chateau de Chassagne-Montrachet Rouge 2018,3,4.2,2,2,1,4
Villa Antinori Chianti Classico Riserva 2006,2,4.2,3,3,1,4
Amore e Follia 2008,2,4.2,3,3,1,3
Clos de la Vieille Eglise Pomerol 2015,3,4.2,4,3,1,3
Dreadnought 2009,3,4.2,4,3,1,3
Larose Red Blend 2011,4,4.2,4,3,1,4
Marian's Reserve 2012,3,4.2,5,3,1,4
Stonewell Shiraz 1999,4,4.2,5,3,2,3
Bosché Vineyard Cabernet Sauvignon 2009,4,4.2,5,3,1,3
Land's Edge Vineyard Pinot Noir 2011,4,4.2,3,1,1,3
Lupi e Sirene Riserva 2012,4,4.2,3,3,1,4
Eileen Hardy Shiraz 2002,4,4.2,5,3,1,3
Cabo de Hornos Special Reserve 2000,3,4.2,4,3,1,3
O.P.C Proprietary Red 2007,4,4.2,5,3,1,4
Sonoma Zinfandel 2004,1,4.2,5,2,2,1
Château Prieuré La Marzelle Saint-Émilion Grand Cru 2011,2,4.2,4,3,1,3
Pinot Noir 2016,2,4.2,3,1,1,3
High Altitude Vineyards Malbec 2006,1,4.2,4,2,1,2
Cagiòlo Montepulciano d'Abruzzo Riserva 2015,2,4.2,3,3,1,4
Ironclad 2008,3,4.2,4,3,1,4
Chateau Buena Vista Pinot Noir 2017,2,4.2,3,2,3,3
Private Reserve 2014,4,4.2,4,3,1,4
The Cream 2010,4,4.2,5,3,1,3
Shiraz 2005,2,4.2,5,3,1,3
Howell Mountain Red 2013,2,4.2,5,3,1,4
Reserve Pinot Noir 2019,3,4.2,2,2,1,3
Saint-Estèphe 2002,2,4.2,4,4,1,4
Unánime Malbec 2015,3,4.2,4,2,1,2
Private Collection Cabernet Sauvignon 2003,1,4.2,4,4,1,3
Bourgogne Pinot Noir 2009,2,4.2,2,1,4,3
Saint-Émilion Grand Cru 2007,4,4.2,4,3,1,3
Unánime Gran Vino Tinto 2019,3,4.2,5,3,1,4
Stradivario Barbera d'Asti Superiore 1997,3,4.2,3,2,1,3
Voilé Reserve 2016,2,4.1,4,3,1,3
Cabernet Sauvignon Aged in Bourbon Barrels 2016,1,4.1,5,3,1,3
Unánime Gran Vino Tinto 2013,3,4.1,5,3,1,4
Cabernet - Malbec 2015,2,4.1,4,3,1,3
Unánime Gran Vino Tinto 2015,3,4.1,5,3,1,4
Unánime Gran Vino Tinto 2014,3,4.1,5,3,1,4
Napa Valley Cabernet Sauvignon 2014,2,4.1,5,3,1,3
The Boxer Shiraz 2016,2,4.1,5,3,2,3
Tenuta Valleselle Ripa Magna Corvina 2016,3,4.1,4,3,2,2
Unánime Gran Vino Tinto 2011,3,4.1,5,3,1,4
Malbec 2013,2,4.1,4,2,2,2
Unánime Malbec 2017,3,4.1,4,2,1,2
Merlot 2014,2,4.1,4,2,1,1
Montepulciano d'Abruzzo Riserva 2013,2,4.1,3,3,1,4
Grand Barossa Shiraz 2018,1,4.1,5,3,2,3
Unánime Malbec 2016,3,4.1,4,2,1,2
Amarone della Valpolicella 2015,4,4.1,5,2,3,2
Tancredi 2016,1,4.1,5,3,2,2
Narassa 2015,1,4.1,4,3,1,3
Narassa 2016,1,4.1,4,3,1,3
Malleolus 2010,3,4.1,4,3,1,3
Unánime Gran Vino Tinto 2009,3,4.1,5,3,1,4
Rutherford Cabernet Sauvignon 2013,4,4.1,5,3,1,3
